Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0032222	GO:0001921	positive regulation of receptor recycling	1.660e-02	0.000e+00	5.561e+00	2.746e-06
GO:0043501	GO:0043501	skeletal muscle adaptation	6.657e-05	0.000e+00	6.076e+00	8.392e-07
GO:0043501	GO:0014732	skeletal muscle atrophy	1.215e-02	0.000e+00	6.228e+00	5.913e-07
GO:0043501	GO:0043500	muscle adaptation	3.801e-04	0.000e+00	5.330e+00	4.680e-06
GO:0043501	GO:0014888	striated muscle adaptation	6.476e-03	0.000e+00	5.393e+00	4.047e-06
GO:2000643	GO:2000643	positive regulation of early endosome to late endosome transport	6.787e-05	0.000e+00	5.849e+00	1.415e-06
GO:2000643	GO:1903651	positive regulation of cytoplasmic transport	8.382e-03	0.000e+00	5.710e+00	1.949e-06
GO:2000643	GO:2000641	regulation of early endosome to late endosome transport	1.043e-04	0.000e+00	5.581e+00	2.624e-06
GO:2000643	GO:0032387	negative regulation of intracellular transport	2.272e-03	0.000e+00	4.916e+00	1.213e-05
GO:2000643	GO:0042308	negative regulation of protein import into nucleus	8.475e-03	0.000e+00	5.571e+00	2.685e-06
GO:0042402	GO:0042402	cellular biogenic amine catabolic process	6.939e-05	0.000e+00	3.241e+00	5.739e-04
GO:0042402	GO:0009310	amine catabolic process	7.383e-05	0.000e+00	3.231e+00	5.871e-04
GO:0042402	GO:0006586	indolalkylamine metabolic process	6.613e-05	0.000e+00	2.452e+00	3.533e-03
GO:0042402	GO:0006568	tryptophan metabolic process	1.365e-03	0.000e+00	2.452e+00	3.533e-03
GO:0042402	GO:0042430	indole-containing compound metabolic process	2.140e-03	0.000e+00	2.450e+00	3.546e-03
GO:0042402	GO:0006576	cellular biogenic amine metabolic process	1.807e-03	0.000e+00	2.318e+00	4.809e-03
GO:0042402	GO:0044106	cellular amine metabolic process	6.864e-03	0.000e+00	2.312e+00	4.872e-03
GO:0042402	GO:0009308	amine metabolic process	9.815e-03	0.000e+00	2.277e+00	5.286e-03
GO:0098704	GO:0098704	carbohydrate import across plasma membrane	6.999e-05	0.000e+00	5.648e+00	2.251e-06
GO:0098704	GO:0098712	L-glutamate import across plasma membrane	3.260e-04	0.000e+00	5.805e+00	1.568e-06
GO:0098704	GO:0015911	long-chain fatty acid import across plasma membrane	1.334e-03	0.000e+00	6.191e+00	6.447e-07
GO:0098704	GO:0070779	D-aspartate import across plasma membrane	8.400e-03	0.000e+00	6.024e+00	9.460e-07
GO:2001240	GO:1901099	negative regulation of signal transduction in absence of ligand	7.025e-05	0.000e+00	5.288e+00	5.153e-06
GO:2001240	GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	7.025e-05	0.000e+00	5.288e+00	5.153e-06
GO:2001240	GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	3.611e-04	0.000e+00	5.153e+00	7.034e-06
GO:2001240	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	1.588e-03	0.000e+00	4.710e+00	1.950e-05
GO:2001240	GO:2001236	regulation of extrinsic apoptotic signaling pathway	1.321e-03	0.000e+00	4.477e+00	3.337e-05
GO:2001240	GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	8.240e-05	0.000e+00	5.566e+00	2.716e-06
GO:2001240	GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	5.979e-03	0.000e+00	5.004e+00	9.906e-06
GO:2001240	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	7.797e-03	0.000e+00	4.949e+00	1.123e-05
GO:0009112	GO:0009112	nucleobase metabolic process	7.092e-05	0.000e+00	2.676e+00	2.109e-03
GO:0009112	GO:0006206	pyrimidine nucleobase metabolic process	2.908e-04	0.000e+00	2.997e+00	1.007e-03
GO:0009112	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	1.894e-03	0.000e+00	3.164e+00	6.852e-04
GO:0009112	GO:0019856	pyrimidine nucleobase biosynthetic process	2.115e-03	0.000e+00	3.070e+00	8.509e-04
GO:0031623	GO:0031623	receptor internalization	7.127e-05	0.000e+00	4.847e+00	1.424e-05
GO:0031623	GO:0002031	G protein-coupled receptor internalization	1.717e-04	0.000e+00	5.714e+00	1.934e-06
GO:0031623	GO:0043112	receptor metabolic process	3.989e-03	0.000e+00	3.902e+00	1.253e-04
GO:0021516	GO:0021516	dorsal spinal cord development	7.446e-05	0.000e+00	5.668e+00	2.148e-06
GO:0045776	GO:0045776	negative regulation of blood pressure	7.451e-05	0.000e+00	5.256e+00	5.546e-06
GO:0045776	GO:0003085	negative regulation of systemic arterial blood pressure	2.407e-04	0.000e+00	5.567e+00	2.708e-06
GO:0045776	GO:0003084	positive regulation of systemic arterial blood pressure	1.071e-03	0.000e+00	5.995e+00	1.011e-06
GO:0045776	GO:0045777	positive regulation of blood pressure	1.533e-03	0.000e+00	5.503e+00	3.139e-06
GO:0035457	GO:0035457	cellular response to interferon-alpha	7.476e-05	0.000e+00	5.586e+00	2.594e-06
GO:0035457	GO:0071346	cellular response to interferon-gamma	2.929e-04	0.000e+00	4.883e+00	1.311e-05
GO:0035457	GO:0034341	response to interferon-gamma	1.756e-04	0.000e+00	4.773e+00	1.688e-05
GO:0035457	GO:0035458	cellular response to interferon-beta	8.758e-04	0.000e+00	5.268e+00	5.390e-06
GO:0035457	GO:1990869	cellular response to chemokine	2.333e-03	0.000e+00	5.429e+00	3.727e-06
GO:0035457	GO:1990868	response to chemokine	2.333e-03	0.000e+00	5.429e+00	3.727e-06
GO:0035457	GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	2.904e-03	0.000e+00	5.866e+00	1.362e-06
GO:0035457	GO:0036005	response to macrophage colony-stimulating factor	2.904e-03	0.000e+00	5.866e+00	1.362e-06
GO:0035457	GO:0098761	cellular response to interleukin-7	3.986e-03	0.000e+00	5.634e+00	2.323e-06
GO:0035457	GO:0098760	response to interleukin-7	3.986e-03	0.000e+00	5.634e+00	2.323e-06
GO:0035457	GO:0070672	response to interleukin-15	1.223e-02	0.000e+00	6.756e+00	1.755e-07
GO:0035457	GO:0071353	cellular response to interleukin-4	5.707e-03	0.000e+00	5.390e+00	4.074e-06
GO:0035457	GO:0070670	response to interleukin-4	9.716e-03	0.000e+00	5.333e+00	4.642e-06
GO:0035457	GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	1.115e-02	0.000e+00	5.752e+00	1.770e-06
GO:0035457	GO:0097012	response to granulocyte macrophage colony-stimulating factor	1.115e-02	0.000e+00	5.751e+00	1.774e-06
GO:0045214	GO:0045214	sarcomere organization	7.753e-05	0.000e+00	4.726e+00	1.879e-05
GO:0045214	GO:0031032	actomyosin structure organization	7.094e-03	0.000e+00	4.221e+00	6.011e-05
GO:0045214	GO:0031532	actin cytoskeleton reorganization	4.144e-03	0.000e+00	4.418e+00	3.819e-05
GO:0045214	GO:0051014	actin filament severing	1.375e-02	0.000e+00	4.622e+00	2.389e-05
GO:0045214	GO:0030239	myofibril assembly	1.265e-04	0.000e+00	4.958e+00	1.101e-05
GO:0045214	GO:0055003	cardiac myofibril assembly	6.378e-03	0.000e+00	5.381e+00	4.162e-06
GO:0045214	GO:0042256	mature ribosome assembly	3.921e-04	0.000e+00	3.804e+00	1.569e-04
GO:0045214	GO:0030240	skeletal muscle thin filament assembly	1.232e-03	0.000e+00	5.686e+00	2.060e-06
GO:0045214	GO:0032289	central nervous system myelin formation	2.228e-03	0.000e+00	6.109e+00	7.782e-07
GO:0045214	GO:0071800	podosome assembly	6.940e-03	0.000e+00	5.530e+00	2.952e-06
GO:0045214	GO:0051764	actin crosslink formation	9.444e-03	0.000e+00	5.279e+00	5.260e-06
GO:0045214	GO:0014866	skeletal myofibril assembly	1.145e-02	0.000e+00	5.776e+00	1.675e-06
GO:0045214	GO:0030953	astral microtubule organization	1.704e-02	0.000e+00	5.555e+00	2.785e-06
GO:0070424	GO:0070424	regulation of nucleotide-binding oligomerization domain containing signaling pathway	8.015e-05	0.000e+00	5.623e+00	2.380e-06
GO:0070424	GO:0070432	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	1.304e-03	0.000e+00	5.866e+00	1.362e-06
GO:0070424	GO:0039533	regulation of MDA-5 signaling pathway	8.290e-03	0.000e+00	5.803e+00	1.575e-06
GO:0070424	GO:0034145	positive regulation of toll-like receptor 4 signaling pathway	6.251e-05	0.000e+00	5.744e+00	1.804e-06
GO:0070424	GO:0034123	positive regulation of toll-like receptor signaling pathway	8.717e-03	0.000e+00	5.073e+00	8.453e-06
GO:0070424	GO:0034155	regulation of toll-like receptor 7 signaling pathway	1.921e-02	0.000e+00	5.842e+00	1.438e-06
GO:0070424	GO:0034141	positive regulation of toll-like receptor 3 signaling pathway	3.401e-04	0.000e+00	5.841e+00	1.442e-06
GO:0070424	GO:0034139	regulation of toll-like receptor 3 signaling pathway	2.051e-03	0.000e+00	5.693e+00	2.029e-06
GO:0060502	GO:0060502	epithelial cell proliferation involved in lung morphogenesis	8.201e-05	0.000e+00	6.260e+00	5.493e-07
GO:0060502	GO:0001935	endothelial cell proliferation	2.003e-03	0.000e+00	5.292e+00	5.104e-06
GO:0060502	GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis	4.936e-03	0.000e+00	5.846e+00	1.427e-06
GO:0060502	GO:0014855	striated muscle cell proliferation	2.910e-04	0.000e+00	5.366e+00	4.303e-06
GO:0060502	GO:0060038	cardiac muscle cell proliferation	6.907e-04	0.000e+00	5.388e+00	4.097e-06
GO:0060502	GO:0010463	mesenchymal cell proliferation	4.871e-03	0.000e+00	5.460e+00	3.471e-06
GO:0060502	GO:0051450	myoblast proliferation	4.933e-03	0.000e+00	5.859e+00	1.385e-06
GO:0060502	GO:0033687	osteoblast proliferation	8.220e-03	0.000e+00	6.074e+00	8.430e-07
GO:0060502	GO:0035988	chondrocyte proliferation	9.558e-03	0.000e+00	5.475e+00	3.353e-06
GO:0060502	GO:0014009	glial cell proliferation	1.530e-02	0.000e+00	5.642e+00	2.281e-06
GO:0060502	GO:0061323	cell proliferation involved in heart morphogenesis	5.585e-04	0.000e+00	6.573e+00	2.670e-07
GO:0060502	GO:0072089	stem cell proliferation	8.624e-03	0.000e+00	5.176e+00	6.672e-06
GO:0060502	GO:0097168	mesenchymal stem cell proliferation	1.381e-03	0.000e+00	6.343e+00	4.539e-07
GO:0060502	GO:0033002	muscle cell proliferation	1.982e-03	0.000e+00	5.217e+00	6.061e-06
GO:0042491	GO:0042491	inner ear auditory receptor cell differentiation	8.441e-05	0.000e+00	5.419e+00	3.807e-06
GO:0042491	GO:0060113	inner ear receptor cell differentiation	7.397e-04	0.000e+00	5.280e+00	5.245e-06
GO:0042491	GO:0035315	hair cell differentiation	8.286e-04	0.000e+00	5.212e+00	6.138e-06
GO:0042491	GO:0071542	dopaminergic neuron differentiation	1.571e-04	0.000e+00	5.146e+00	7.148e-06
GO:0042491	GO:0042490	mechanoreceptor differentiation	2.014e-03	0.000e+00	5.142e+00	7.210e-06
GO:0042491	GO:0021527	spinal cord association neuron differentiation	1.870e-04	0.000e+00	5.598e+00	2.525e-06
GO:0042491	GO:0021514	ventral spinal cord interneuron differentiation	1.675e-03	0.000e+00	5.674e+00	2.117e-06
GO:0042491	GO:0021879	forebrain neuron differentiation	5.170e-04	0.000e+00	5.429e+00	3.723e-06
GO:0001707	GO:0001707	mesoderm formation	8.788e-05	0.000e+00	5.004e+00	9.918e-06
GO:0001707	GO:0001704	formation of primary germ layer	2.126e-03	0.000e+00	4.841e+00	1.443e-05
GO:0001707	GO:0048341	paraxial mesoderm formation	3.757e-04	0.000e+00	5.849e+00	1.415e-06
GO:0001707	GO:0048645	animal organ formation	1.224e-04	0.000e+00	5.319e+00	4.799e-06
GO:0001707	GO:0060914	heart formation	6.090e-04	0.000e+00	5.916e+00	1.213e-06
GO:0001707	GO:0003272	endocardial cushion formation	2.080e-04	0.000e+00	5.997e+00	1.007e-06
GO:0001707	GO:0006949	syncytium formation	3.107e-04	0.000e+00	4.797e+00	1.596e-05
GO:0001707	GO:0030916	otic vesicle formation	3.291e-04	0.000e+00	5.595e+00	2.540e-06
GO:0001707	GO:0072079	nephron tubule formation	3.463e-03	0.000e+00	5.608e+00	2.464e-06
GO:0001707	GO:0060900	embryonic camera-type eye formation	5.804e-04	0.000e+00	6.455e+00	3.509e-07
GO:0001707	GO:0002040	sprouting angiogenesis	7.157e-03	0.000e+00	4.822e+00	1.508e-05
GO:0001707	GO:0061042	vascular wound healing	3.558e-03	0.000e+00	5.813e+00	1.537e-06
GO:0001707	GO:0060978	angiogenesis involved in coronary vascular morphogenesis	4.300e-03	0.000e+00	6.515e+00	3.052e-07
GO:0036112	GO:0036112	medium-chain fatty-acyl-CoA metabolic process	9.076e-05	0.000e+00	6.393e+00	4.043e-07
GO:0036112	GO:0035337	fatty-acyl-CoA metabolic process	2.155e-03	0.000e+00	4.903e+00	1.251e-05
GO:0036112	GO:1901568	fatty acid derivative metabolic process	2.297e-04	0.000e+00	4.259e+00	5.511e-05
GO:0036112	GO:1901570	fatty acid derivative biosynthetic process	5.446e-04	0.000e+00	4.804e+00	1.572e-05
GO:0036112	GO:0036115	fatty-acyl-CoA catabolic process	1.864e-04	0.000e+00	6.242e+00	5.722e-07
GO:0036112	GO:0046949	fatty-acyl-CoA biosynthetic process	2.151e-03	0.000e+00	5.124e+00	7.511e-06
GO:0060117	GO:0060117	auditory receptor cell development	9.318e-05	0.000e+00	5.670e+00	2.140e-06
GO:0060117	GO:0060119	inner ear receptor cell development	9.858e-04	0.000e+00	5.246e+00	5.680e-06
GO:0060117	GO:0060009	Sertoli cell development	8.634e-03	0.000e+00	5.734e+00	1.846e-06
GO:0060117	GO:0090557	establishment of endothelial intestinal barrier	4.354e-04	0.000e+00	5.805e+00	1.568e-06
GO:0060117	GO:0061028	establishment of endothelial barrier	7.333e-04	0.000e+00	5.229e+00	5.905e-06
GO:0060117	GO:0072144	glomerular mesangial cell development	5.493e-04	0.000e+00	6.124e+00	7.515e-07
GO:0060117	GO:0072143	mesangial cell development	5.493e-04	0.000e+00	6.010e+00	9.765e-07
GO:0060117	GO:0001885	endothelial cell development	5.441e-03	0.000e+00	5.081e+00	8.293e-06
GO:0048265	GO:0048265	response to pain	9.608e-05	0.000e+00	5.619e+00	2.403e-06
GO:0048265	GO:0007601	visual perception	9.956e-03	0.000e+00	3.633e+00	2.329e-04
GO:1900016	GO:1900016	negative regulation of cytokine production involved in inflammatory response	9.670e-05	0.000e+00	5.478e+00	3.330e-06
GO:1900016	GO:1900015	regulation of cytokine production involved in inflammatory response	3.436e-03	0.000e+00	5.025e+00	9.433e-06
GO:1900016	GO:0032720	negative regulation of tumor necrosis factor production	3.120e-03	0.000e+00	5.037e+00	9.178e-06
GO:1900016	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	3.962e-03	0.000e+00	5.026e+00	9.411e-06
GO:0090118	GO:0090118	receptor-mediated endocytosis involved in cholesterol transport	9.974e-05	0.000e+00	6.168e+00	6.790e-07
GO:1904000	GO:1904000	positive regulation of eating behavior	9.977e-05	0.000e+00	6.686e+00	2.060e-07
GO:0034111	GO:0034111	negative regulation of homotypic cell-cell adhesion	1.006e-04	0.000e+00	5.587e+00	2.586e-06
GO:0034111	GO:0034110	regulation of homotypic cell-cell adhesion	4.284e-04	0.000e+00	5.247e+00	5.657e-06
GO:0034111	GO:0034112	positive regulation of homotypic cell-cell adhesion	1.151e-02	0.000e+00	5.825e+00	1.495e-06
GO:0034111	GO:0050868	negative regulation of T cell activation	1.608e-04	0.000e+00	4.559e+00	2.758e-05
GO:0034111	GO:1903038	negative regulation of leukocyte cell-cell adhesion	2.055e-04	0.000e+00	4.531e+00	2.947e-05
GO:0034111	GO:0022408	negative regulation of cell-cell adhesion	1.420e-04	0.000e+00	4.382e+00	4.154e-05
GO:0034111	GO:0051250	negative regulation of lymphocyte activation	2.873e-04	0.000e+00	4.431e+00	3.708e-05
GO:0034111	GO:0002695	negative regulation of leukocyte activation	1.703e-04	0.000e+00	4.348e+00	4.487e-05
GO:0034111	GO:0050866	negative regulation of cell activation	9.834e-05	0.000e+00	4.311e+00	4.890e-05
GO:0034111	GO:0050869	negative regulation of B cell activation	1.101e-02	0.000e+00	5.190e+00	6.450e-06
GO:0006577	GO:0006577	amino-acid betaine metabolic process	1.007e-04	0.000e+00	3.371e+00	4.258e-04
GO:0006577	GO:0006578	amino-acid betaine biosynthetic process	5.407e-04	0.000e+00	3.479e+00	3.318e-04
GO:0006577	GO:0009437	carnitine metabolic process	4.025e-04	0.000e+00	3.931e+00	1.171e-04
GO:0006577	GO:0045329	carnitine biosynthetic process	7.271e-03	0.000e+00	4.603e+00	2.493e-05
GO:0006577	GO:0006750	glutathione biosynthetic process	4.484e-03	0.000e+00	3.259e+00	5.506e-04
GO:0006577	GO:0019184	nonribosomal peptide biosynthetic process	2.842e-03	0.000e+00	3.128e+00	7.455e-04
GO:0006577	GO:0006749	glutathione metabolic process	1.261e-02	0.000e+00	3.072e+00	8.479e-04
GO:0030194	GO:0050820	positive regulation of coagulation	7.107e-05	0.000e+00	5.129e+00	7.438e-06
GO:0030194	GO:0030194	positive regulation of blood coagulation	1.023e-04	0.000e+00	5.144e+00	7.183e-06
GO:0030194	GO:1900048	positive regulation of hemostasis	1.023e-04	0.000e+00	5.144e+00	7.183e-06
GO:0030194	GO:0090303	positive regulation of wound healing	3.146e-04	0.000e+00	4.893e+00	1.279e-05
GO:0030194	GO:1903036	positive regulation of response to wounding	3.812e-04	0.000e+00	4.824e+00	1.501e-05
GO:0030194	GO:1903689	regulation of wound healing, spreading of epidermal cells	2.352e-04	0.000e+00	5.912e+00	1.224e-06
GO:0030194	GO:0061041	regulation of wound healing	3.303e-04	0.000e+00	4.417e+00	3.827e-05
GO:0008652	GO:0008652	cellular amino acid biosynthetic process	1.025e-04	0.000e+00	1.433e+00	3.688e-02
GO:0008652	GO:1901607	alpha-amino acid biosynthetic process	7.145e-05	0.000e+00	1.660e+00	2.189e-02
GO:0008652	GO:1901605	alpha-amino acid metabolic process	1.702e-03	0.000e+00	1.489e+00	3.242e-02
GO:0008652	GO:0006551	leucine metabolic process	1.532e-02	0.000e+00	2.678e+00	2.100e-03
GO:0008652	GO:0006633	fatty acid biosynthetic process	2.597e-04	0.000e+00	2.256e+00	5.540e-03
GO:0008652	GO:0072330	monocarboxylic acid biosynthetic process	2.923e-04	0.000e+00	2.065e+00	8.602e-03
GO:0008652	GO:0030497	fatty acid elongation	4.767e-03	0.000e+00	4.316e+00	4.830e-05
GO:0008652	GO:0051791	medium-chain fatty acid metabolic process	1.294e-02	0.000e+00	5.469e+00	3.395e-06
GO:0008652	GO:0006573	valine metabolic process	6.211e-04	0.000e+00	2.979e+00	1.050e-03
GO:0008652	GO:0006574	valine catabolic process	2.326e-03	0.000e+00	4.253e+00	5.590e-05
GO:0008652	GO:0006547	histidine metabolic process	7.326e-04	0.000e+00	2.232e+00	5.855e-03
GO:0008652	GO:0006548	histidine catabolic process	1.603e-03	0.000e+00	3.065e+00	8.617e-04
GO:0008652	GO:0055129	L-proline biosynthetic process	1.597e-03	0.000e+00	3.375e+00	4.220e-04
GO:0008652	GO:0006561	proline biosynthetic process	1.597e-03	0.000e+00	2.772e+00	1.692e-03
GO:0008652	GO:0006560	proline metabolic process	1.793e-03	0.000e+00	2.670e+00	2.140e-03
GO:0072488	GO:0072488	ammonium transmembrane transport	1.239e-03	0.000e+00	3.666e+00	2.160e-04
GO:0072488	GO:0006865	amino acid transport	2.339e-03	0.000e+00	2.360e+00	4.370e-03
GO:0072501	GO:0072505	divalent inorganic anion homeostasis	6.749e-05	0.000e+00	7.163e+00	6.866e-08
GO:0072501	GO:0072501	cellular divalent inorganic anion homeostasis	1.039e-04	0.000e+00	7.339e+00	4.577e-08
GO:0072501	GO:0030643	cellular phosphate ion homeostasis	1.039e-04	0.000e+00	3.869e+00	1.351e-04
GO:0072501	GO:0030002	cellular anion homeostasis	5.277e-05	0.000e+00	3.867e+00	1.359e-04
GO:0072501	GO:0072502	cellular trivalent inorganic anion homeostasis	1.039e-04	0.000e+00	3.869e+00	1.351e-04
GO:0072501	GO:0030320	cellular monovalent inorganic anion homeostasis	5.277e-05	0.000e+00	6.131e+00	7.400e-07
GO:0072501	GO:0030644	cellular chloride ion homeostasis	2.476e-03	0.000e+00	6.161e+00	6.904e-07
GO:0072501	GO:0055083	monovalent inorganic anion homeostasis	6.082e-04	0.000e+00	5.464e+00	3.433e-06
GO:0072501	GO:0055062	phosphate ion homeostasis	6.749e-05	0.000e+00	3.861e+00	1.378e-04
GO:0072501	GO:0072506	trivalent inorganic anion homeostasis	6.749e-05	0.000e+00	3.861e+00	1.378e-04
GO:0072501	GO:0055081	anion homeostasis	1.040e-02	0.000e+00	3.846e+00	1.426e-04
GO:1904393	GO:1904393	regulation of skeletal muscle acetylcholine-gated channel clustering	1.046e-04	0.000e+00	5.978e+00	1.053e-06
GO:1904393	GO:1903909	regulation of receptor clustering	6.427e-03	0.000e+00	3.672e+00	2.126e-04
GO:1904393	GO:1900181	negative regulation of protein localization to nucleus	9.808e-03	0.000e+00	5.187e+00	6.504e-06
GO:1904393	GO:1903911	positive regulation of receptor clustering	8.832e-03	0.000e+00	3.675e+00	2.112e-04
